,buys,sells,winners,losers
152,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",526,1105
153,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",964,967
154,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",578,187
155,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",60,13
156,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",1409,545
157,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",470,254
158,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",866,361
159,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",470,254
160,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",1323,635
161,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",60,13
162,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",578,187
163,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",60,13
164,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",1409,545
165,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",965,992
166,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",850,1108
167,"('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",965,992
168,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",1531,1394
169,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",163,236
170,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",42,114
171,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",1832,1361
172,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",89,116
173,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",1,3
174,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",1531,1394
175,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",1138,2104
176,"('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",971,2111
