max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv_6,mv_0
-0.1,-0.05,0.5,0.3,0.01,10,2016-01-01,2020-09-01,6452.0,6054.0
-0.1,-0.05,0.5,0.3,0.01,15,2016-01-01,2020-09-01,5464.0,5749.0
-0.1,-0.05,0.5,0.3,0.01,20,2016-01-01,2020-09-01,5274.0,5873.0
-0.1,-0.05,0.5,0.3,0.025,10,2016-01-01,2020-09-01,6830.0,8348.0
-0.1,-0.05,0.5,0.3,0.025,15,2016-01-01,2020-09-01,4640.0,8060.0
-0.1,-0.05,0.5,0.3,0.025,20,2016-01-01,2020-09-01,8912.0,8202.0
-0.1,-0.05,0.5,0.3,0.05,10,2016-01-01,2020-09-01,8890.0,7785.0
-0.1,-0.05,0.5,0.3,0.05,15,2016-01-01,2020-09-01,8633.0,7586.0
-0.1,-0.05,0.5,0.3,0.05,20,2016-01-01,2020-09-01,8171.0,6934.0
-0.1,-0.05,0.2,0.1,0.01,10,2016-01-01,2020-09-01,6126.0,6213.0
-0.1,-0.05,0.2,0.1,0.01,15,2016-01-01,2020-09-01,5288.0,5284.0
-0.1,-0.05,0.2,0.1,0.01,20,2016-01-01,2020-09-01,4841.0,5661.0
-0.1,-0.05,0.2,0.1,0.025,10,2016-01-01,2020-09-01,7913.0,8744.0
-0.1,-0.05,0.2,0.1,0.025,15,2016-01-01,2020-09-01,5446.0,8009.0
-0.1,-0.05,0.2,0.1,0.025,20,2016-01-01,2020-09-01,6834.0,8505.0
-0.1,-0.05,0.2,0.1,0.05,10,2016-01-01,2020-09-01,8885.0,7507.0
-0.1,-0.05,0.2,0.1,0.05,15,2016-01-01,2020-09-01,7547.0,7602.0
-0.1,-0.05,0.2,0.1,0.05,20,2016-01-01,2020-09-01,7895.0,7599.0
-0.1,-0.05,0.2,0.2,0.01,10,2016-01-01,2020-09-01,6085.0,6324.0
-0.1,-0.05,0.2,0.2,0.01,15,2016-01-01,2020-09-01,4972.0,5773.0
-0.1,-0.05,0.2,0.2,0.01,20,2016-01-01,2020-09-01,5191.0,6019.0
-0.1,-0.05,0.2,0.2,0.025,10,2016-01-01,2020-09-01,7013.0,8764.0
-0.1,-0.05,0.2,0.2,0.025,15,2016-01-01,2020-09-01,5082.0,8016.0
-0.1,-0.05,0.2,0.2,0.025,20,2016-01-01,2020-09-01,7357.0,8743.0
