max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.2,-0.2,0.5,0.1,0.005,10,2017-06-30,2018-06-30,5491.0
-0.2,-0.2,0.67,0.1,0.005,10,2017-06-30,2018-06-30,5491.0
-0.2,-0.2,0.3,0.1,0.005,10,2017-06-30,2018-06-30,5491.0
-0.3,-0.1,0.3,0.1,0.005,10,2017-06-30,2018-06-30,5488.0
-0.3,-0.1,0.67,0.1,0.005,10,2017-06-30,2018-06-30,5488.0
-0.3,-0.1,0.5,0.1,0.005,10,2017-06-30,2018-06-30,5488.0
-0.2,-0.1,0.3,0.1,0.005,10,2017-06-30,2018-06-30,5485.0
-0.2,-0.1,0.5,0.2,0.05,10,2017-06-30,2018-06-30,5485.0
-0.2,-0.1,0.67,0.2,0.05,10,2017-06-30,2018-06-30,5485.0
-0.2,-0.1,0.5,0.1,0.005,10,2017-06-30,2018-06-30,5485.0
-0.2,-0.1,0.67,0.1,0.005,10,2017-06-30,2018-06-30,5485.0
-0.2,-0.1,0.5,0.1,0.05,10,2017-06-30,2018-06-30,5483.0
-0.2,-0.1,0.67,0.1,0.05,10,2017-06-30,2018-06-30,5483.0
-0.2,-0.1,0.3,0.1,0.05,10,2017-06-30,2018-06-30,5476.0
-0.3,-0.1,0.3,0.1,0.05,10,2017-06-30,2018-06-30,5475.0
-0.3,-0.2,0.3,0.1,0.05,10,2017-06-30,2018-06-30,5474.0
-0.3,-0.1,0.5,0.2,0.05,10,2017-06-30,2018-06-30,5471.0
-0.3,-0.1,0.67,0.2,0.05,10,2017-06-30,2018-06-30,5471.0
-0.2,-0.1,0.3,0.2,0.05,10,2017-06-30,2018-06-30,5470.0
-0.2,-0.1,0.5,0.2,0.005,30,2017-06-30,2018-06-30,5469.0
-0.2,-0.1,0.3,0.2,0.005,30,2017-06-30,2018-06-30,5469.0
-0.2,-0.1,0.67,0.2,0.005,30,2017-06-30,2018-06-30,5469.0
-0.3,-0.1,0.67,0.1,0.05,20,2017-06-30,2018-06-30,5468.0
-0.3,-0.1,0.5,0.1,0.05,20,2017-06-30,2018-06-30,5468.0
-0.2,-0.2,0.67,0.2,0.005,30,2017-06-30,2018-06-30,5467.0
-0.2,-0.2,0.5,0.2,0.005,30,2017-06-30,2018-06-30,5467.0
-0.2,-0.2,0.3,0.2,0.005,30,2017-06-30,2018-06-30,5467.0
-0.2,-0.1,0.67,0.1,0.005,30,2017-06-30,2018-06-30,5465.0
-0.2,-0.1,0.3,0.1,0.005,30,2017-06-30,2018-06-30,5465.0
-0.2,-0.1,0.5,0.1,0.005,30,2017-06-30,2018-06-30,5465.0
-0.3,-0.1,0.67,0.2,0.05,20,2017-06-30,2018-06-30,5461.0
-0.3,-0.1,0.5,0.2,0.05,20,2017-06-30,2018-06-30,5461.0
-0.3,-0.1,0.3,0.2,0.01,30,2017-06-30,2018-06-30,5460.0
-0.3,-0.1,0.3,0.1,0.05,20,2017-06-30,2018-06-30,5459.0
-0.2,-0.2,0.67,0.1,0.005,30,2017-06-30,2018-06-30,5459.0
-0.2,-0.2,0.5,0.1,0.005,30,2017-06-30,2018-06-30,5459.0
-0.2,-0.2,0.3,0.1,0.005,30,2017-06-30,2018-06-30,5459.0
-0.3,-0.2,0.3,0.1,0.05,20,2017-06-30,2018-06-30,5458.0
-0.3,-0.1,0.5,0.2,0.01,30,2017-06-30,2018-06-30,5456.0
-0.3,-0.1,0.67,0.2,0.01,30,2017-06-30,2018-06-30,5456.0
-0.2,-0.2,0.3,0.1,0.05,10,2017-06-30,2018-06-30,5456.0
-0.2,-0.2,0.5,0.1,0.05,10,2017-06-30,2018-06-30,5455.0
-0.2,-0.2,0.67,0.1,0.05,10,2017-06-30,2018-06-30,5455.0
-0.2,-0.1,0.3,0.2,0.05,20,2017-06-30,2018-06-30,5454.0
-0.3,-0.2,0.67,0.1,0.05,10,2017-06-30,2018-06-30,5451.0
-0.3,-0.2,0.5,0.1,0.05,10,2017-06-30,2018-06-30,5451.0
-0.2,-0.1,0.5,0.1,0.05,20,2017-06-30,2018-06-30,5447.0
-0.2,-0.1,0.67,0.1,0.05,20,2017-06-30,2018-06-30,5447.0
-0.3,-0.1,0.3,0.2,0.05,10,2017-06-30,2018-06-30,5437.0
-0.3,-0.1,0.5,0.1,0.05,30,2017-06-30,2018-06-30,5430.0
-0.2,-0.1,0.3,0.1,0.05,20,2017-06-30,2018-06-30,5428.0
-0.2,-0.1,0.67,0.2,0.05,20,2017-06-30,2018-06-30,5420.0
-0.2,-0.1,0.5,0.2,0.05,20,2017-06-30,2018-06-30,5420.0
-0.3,-0.2,0.3,0.2,0.05,20,2017-06-30,2018-06-30,5417.0
-0.3,-0.1,0.67,0.1,0.05,30,2017-06-30,2018-06-30,5414.0
-0.2,-0.2,0.67,0.2,0.05,20,2017-06-30,2018-06-30,5413.0
-0.2,-0.2,0.5,0.2,0.05,20,2017-06-30,2018-06-30,5413.0
-0.3,-0.1,0.3,0.2,0.05,20,2017-06-30,2018-06-30,5410.0
-0.2,-0.2,0.67,0.1,0.05,20,2017-06-30,2018-06-30,5406.0
-0.2,-0.2,0.3,0.1,0.05,20,2017-06-30,2018-06-30,5406.0
-0.2,-0.2,0.5,0.1,0.05,20,2017-06-30,2018-06-30,5406.0
