symbol,description,industry,sector,market_cap
CALX,"Calix, Inc.",Technology,Software - Application,2.90B
DCT,"Duck Creek Technologies, Inc.",Technology,Software - Application,6.22B
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,Specialty Retail,3.81B
LSI,"Life Storage, Inc.",Real Estate,REIT - Industrial,6.50B
IAA,"IAA, Inc.",Industrials,Specialty Business Services,8.02B
PUBM,"PubMatic, Inc.",Technology,Software - Application,2.60B
HUM,Humana Inc.,Healthcare,Healthcare Plans,51.73B
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,4.21B
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,11.95B
CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,4.48B
AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,4.46B
BZUN,Baozun Inc.,Consumer Cyclical,Internet Retail,7.06B
RPAY,Repay Holdings Corporation,Technology,Software - Infrastructure,2.27B
FVRR,Fiverr International Ltd.,Consumer Cyclical,Internet Retail,8.72B
SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,15.53B
ATCO,Atlas Corp.,Financial,Asset Management,3.62B
NATI,National Instruments Corporation,Technology,Software - Application,5.77B
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,5.32B
QDEL,Quidel Corporation,Healthcare,Diagnostics & Research,5.89B
APG,APi Group Corporation,Industrials,Engineering & Construction,3.72B
HIW,"Highwoods Properties, Inc.",Real Estate,REIT - Office,4.46B
CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,13.57B
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,22.68B
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,7.54B
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,28.76B
SEM,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities,4.75B
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,2.47B
LFC,China Life Insurance Company Limited,Financial,Insurance - Life,119.31B
OMF,"OneMain Holdings, Inc.",Financial,Credit Services,7.58B
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,33.71B
FRHC,Freedom Holding Corp.,Financial,Capital Markets,3.08B
CSAN,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,6.35B
AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment & Parts,5.07B
RAMP,"LiveRamp Holdings, Inc.",Technology,Information Technology Services,3.86B
CE,Celanese Corporation,Basic Materials,Chemicals,16.55B
VRNT,Verint Systems Inc.,Technology,Software - Infrastructure,3.24B
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,11.61B
CFX,Colfax Corporation,Industrials,Specialty Industrial Machinery,5.70B
SATS,EchoStar Corporation,Technology,Communication Equipment,2.59B
TPIC,"TPI Composites, Inc.",Industrials,Specialty Industrial Machinery,2.00B
TWST,Twist Bioscience Corporation,Healthcare,Diagnostics & Research,7.22B
PFGC,Performance Food Group Company,Consumer Defensive,Food Distribution,7.58B
TCF,TCF Financial Corporation,Financial,Banks - Regional,7.28B
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,4.41B
RMBS,Rambus Inc.,Technology,Semiconductors,2.30B
