symbol,description,industry,sector,market_cap
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,28.86B
LB,"L Brands, Inc.",Consumer Cyclical,Apparel Retail,15.51B
CERN,Cerner Corporation,Healthcare,Health Information Services,22.11B
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,73.98B
HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,7.07B
ENPH,"Enphase Energy, Inc.",Technology,Solar,22.56B
SM,SM Energy Company,Energy,Oil & Gas E&P,2.11B
SE,Sea Limited,Communication Services,Electronic Gaming & Multimedia,118.70B
BILI,Bilibili Inc.,Communication Services,Electronic Gaming & Multimedia,39.50B
WDC,Western Digital Corporation,Technology,Computer Hardware,21.07B
EAF,GrafTech International Ltd.,Industrials,Electrical Equipment & Parts,3.31B
TGT,Target Corporation,Consumer Defensive,Discount Stores,89.95B
SO,The Southern Company,Utilities,Utilities - Regulated Electric,63.83B
NFLX,"Netflix, Inc.",Communication Services,Entertainment,232.66B
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,16.27B
ROOT,"Root, Inc.",Financial,Insurance - Property & Casualty,3.07B
CDE,"Coeur Mining, Inc.",Basic Materials,Gold,2.45B
FEYE,"FireEye, Inc.",Technology,Software - Infrastructure,5.01B
IBM,International Business Machines Corporation,Technology,Information Technology Services,114.47B
LBTYK,Liberty Global plc,Communication Services,Entertainment,9.89B
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,143.40B
EQR,Equity Residential,Real Estate,REIT - Residential,27.28B
ELAN,Elanco Animal Health Incorporated,Healthcare,Drug Manufacturers - Specialty & Generic,16.22B
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REIT - Healthcare Facilities,3.76B
NWSA,News Corporation,Communication Services,Broadcasting,14.90B
CHNG,Change Healthcare Inc.,Healthcare,Health Information Services,7.00B
DM,"Desktop Metal, Inc.",Technology,Computer Hardware,4.71B
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,17.14B
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,20.97B
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,34.11B
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,26.81B
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,40.13B
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,9.41B
AU,AngloGold Ashanti Limited,Basic Materials,Gold,9.63B
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,8.43B
K,Kellogg Company,Consumer Defensive,Packaged Foods,19.96B
PK,Park Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,5.66B
NRZ,New Residential Investment Corp.,Real Estate,REIT - Mortgage,4.58B
NVAX,"Novavax, Inc.",Healthcare,Biotechnology,14.86B
HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,20.17B
RPAI,"Retail Properties of America, Inc.",Real Estate,REIT - Retail,2.53B
JCI,Johnson Controls International plc,Industrials,Engineering & Construction,44.34B
BX,The Blackstone Group Inc.,Financial,Asset Management,88.92B
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,8.64B
DDOG,"Datadog, Inc.",Technology,Software - Application,27.90B
FOXA,Fox Corporation,Communication Services,Broadcasting,24.04B
PBCT,"People's United Financial, Inc.",Financial,Banks - Regional,7.68B
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,39.07B
RUN,Sunrun Inc.,Technology,Solar,12.82B
MDT,Medtronic plc,Healthcare,Medical Devices,159.66B
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,130.91B
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,84.41B
ELP,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Diversified,3.31B
STL,Sterling Bancorp,Financial,Banks - Regional,4.65B
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,127.05B
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,51.23B
VNT,Vontier Corporation,Technology,Scientific & Technical Instruments,5.16B
MLCO,Melco Resorts & Entertainment Limited,Consumer Cyclical,Resorts & Casinos,10.62B
TXN,Texas Instruments Incorporated,Technology,Semiconductors,162.73B
DOCU,"DocuSign, Inc.",Technology,Software - Application,43.96B
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2.13B
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,8.38B
IBN,ICICI Bank Limited,Financial,Banks - Regional,58.92B
U,Unity Software Inc.,Technology,Software - Application,30.74B
IVZ,Invesco Ltd.,Financial,Asset Management,11.76B
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage,2.08B
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,8.88B
FAST,Fastenal Company,Industrials,Industrial Distribution,27.19B
GDRX,"GoodRx Holdings, Inc.",Healthcare,Health Information Services,17.05B
EQH,"Equitable Holdings, Inc.",Financial,Insurance - Diversified,13.98B
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,120.75B
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,5.32B
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,70.42B
DOC,Physicians Realty Trust,Real Estate,REIT - Healthcare Facilities,3.82B
ATUS,"Altice USA, Inc.",Communication Services,Telecom Services,10.12B
TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,11.99B
BEN,"Franklin Resources, Inc.",Financial,Asset Management,15.11B
MIK,"The Michaels Companies, Inc.",Consumer Cyclical,Specialty Retail,3.10B
RDS-A,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,165.57B
MA,Mastercard Incorporated,Financial,Credit Services,380.88B
SLM,SLM Corporation,Financial,Credit Services,6.20B
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,21.11B
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,120.44B
SAN,"Banco Santander, S.A.",Financial,Banks - Diversified,61.29B
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,11.31B
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,295.21B
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,11.02B
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,12.06B
CLNY,"Colony Capital, Inc.",Real Estate,REIT - Diversified,3.24B
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,21.33B
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,140.64B
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,12.72B
BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,70.73B
CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,18.75B
AES,The AES Corporation,Utilities,Utilities - Diversified,18.86B
ATH,Athene Holding Ltd.,Financial,Insurance - Diversified,9.91B
NNOX,Nano-X Imaging Ltd.,Healthcare,Medical Devices,2.34B
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,35.71B
AG,First Majestic Silver Corp.,Basic Materials,Silver,3.83B
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,4.75B
AA,Alcoa Corporation,Basic Materials,Aluminum,5.90B
CC,The Chemours Company,Basic Materials,Specialty Chemicals,4.19B
BBBY,Bed Bath & Beyond Inc.,Consumer Cyclical,Specialty Retail,3.76B
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,13.53B
ABT,Abbott Laboratories,Healthcare,Medical Devices,210.67B
SFIX,"Stitch Fix, Inc.",Consumer Cyclical,Specialty Retail,6.01B
INFO,IHS Markit Ltd.,Industrials,Consulting Services,40.60B
APO,"Apollo Global Management, Inc.",Financial,Asset Management,21.56B
NYCB,"New York Community Bancorp, Inc.",Financial,Banks - Regional,5.81B
MET,"MetLife, Inc.",Financial,Insurance - Life,52.59B
MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,7.85B
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold,2.84B
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,7.77B
VOD,Vodafone Group Plc,Communication Services,Telecom Services,49.13B
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,5.02B
BLDP,Ballard Power Systems Inc.,Industrials,Specialty Industrial Machinery,7.45B
VLDR,"Velodyne Lidar, Inc.",Technology,Scientific & Technical Instruments,2.76B
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,64.02B
CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,3.05B
GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,4.75B
GSX,GSX Techedu Inc.,Consumer Defensive,Education & Training Services,21.95B
CPG,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,2.40B
MPW,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,12.39B
EXC,Exelon Corporation,Utilities,Utilities - Diversified,41.78B
DDD,3D Systems Corporation,Technology,Computer Hardware,3.90B
PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,16.93B
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,3.84B
INFY,Infosys Limited,Technology,Information Technology Services,80.85B
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,80.74B
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,33.79B
BTG,B2Gold Corp.,Basic Materials,Gold,4.86B
DOW,Dow Inc.,Basic Materials,Chemicals,46.86B
UWMC,UWM Holdings Corporation Class,Financial,Mortgage Finance,14.05B
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,51.37B
LAZR,"Luminar Technologies, Inc.",Technology,Software - Application,9.03B
ON,ON Semiconductor Corporation,Technology,Semiconductors,16.30B
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,34.28B
PDD,Pinduoduo Inc.,Consumer Cyclical,Internet Retail,196.77B
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,4.47B
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,Leisure,35.02B
AI,"C3.ai, Inc.",Technology,Information Technology Services,8.41B
INO,"Inovio Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.18B
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,9.12B
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,183.78B
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,163.77B
GOCO,"GoHealth, Inc.",Financial,Insurance Brokers,3.79B
AR,Antero Resources Corporation,Energy,Oil & Gas E&P,3.13B
NVDA,NVIDIA Corporation,Technology,Semiconductors,330.64B
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,154.75B
COLD,Americold Realty Trust,Real Estate,REIT - Industrial,9.09B
PSTG,"Pure Storage, Inc.",Technology,Computer Hardware,6.70B
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,9.84B
WU,The Western Union Company,Financial,Credit Services,10.22B
TCOM,Trip.com Group Limited,Consumer Cyclical,Travel Services,24.83B
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,229.70B
CLVT,Clarivate Plc,Technology,Information Technology Services,15.15B
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,421.12B
NLSN,Nielsen Holdings plc,Industrials,Consulting Services,9.50B
RLX,RLX Technology Inc.,Consumer Defensive,Tobacco,32.92B
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,134.86B
DISH,DISH Network Corporation,Communication Services,Entertainment,19.66B
QFIN,"360 DigiTech, Inc.",Financial,Credit Services,4.23B
CRM,"salesforce.com, inc.",Technology,Software - Application,198.74B
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,39.55B
STLA,Stellantis N.V.,Consumer Cyclical,Auto Manufacturers,55.66B
SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,34.49B
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,24.98B
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.45B
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,4.09B
MCFE,McAfee Corp.,Technology,Software - Application,10.46B
TFC,Truist Financial Corporation,Financial,Banks - Regional,78.78B
FTCH,Farfetch Limited,Consumer Cyclical,Internet Retail,20.75B
SNOW,Snowflake Inc.,Technology,Software - Application,69.89B
SYF,Synchrony Financial,Financial,Credit Services,24.98B
UMC,United Microelectronics Corporation,Technology,Semiconductors,21.44B
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,37.85B
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,13.08B
GSK,GlaxoSmithKline plc,Healthcare,Drug Manufacturers - General,88.87B
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,3.99B
USB,U.S. Bancorp,Financial,Banks - Regional,79.19B
SAVE,"Spirit Airlines, Inc.",Industrials,Airlines,3.63B
ENIA,Enel Americas S.A.,Utilities,Utilities - Regulated Electric,12.99B
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,47.16B
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,5.15B
APA,APA Corporation,Energy,Oil & Gas E&P,8.39B
MT,ArcelorMittal,Basic Materials,Steel,28.71B
CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,2.86B
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,194.08B
SCHW,The Charles Schwab Corporation,Financial,Capital Markets,122.59B
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,47.57B
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,79.96B
TRIP,"TripAdvisor, Inc.",Consumer Cyclical,Travel Services,7.59B
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,55.55B
HIMX,"Himax Technologies, Inc.",Technology,Semiconductors,2.33B
SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,2.93B
ALLY,Ally Financial Inc.,Financial,Credit Services,17.46B
CLDR,"Cloudera, Inc.",Technology,Software - Application,4.12B
CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,17.00B
BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information,91.86B
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,618.70B
SABR,Sabre Corporation,Technology,Information Technology Services,5.23B
PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,296.84B
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,108.10B
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,127.63B
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,146.43B
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,313.54B
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,18.31B
FINV,FinVolution Group,Financial,Credit Services,2.73B
FHN,First Horizon Corporation,Financial,Banks - Regional,9.55B
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,58.95B
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,12.48B
TIGR,UP Fintech Holding Limited,Financial,Capital Markets,3.19B
NKLA,Nikola Corporation,Consumer Cyclical,Auto Manufacturers,6.72B
PENN,"Penn National Gaming, Inc.",Consumer Cyclical,Resorts & Casinos,21.44B
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,96.22B
EDU,New Oriental Education & Technology Group Inc.,Consumer Defensive,Education & Training Services,28.09B
YALA,Yalla Group Limited,Technology,Software - Application,3.30B
LYG,Lloyds Banking Group plc,Financial,Banks - Regional,39.80B
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,45.83B
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,51.14B
CCJ,Cameco Corporation,Energy,Uranium,7.03B
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,151.57B
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,118.64B
WISH,ContextLogic Inc.,Consumer Cyclical,Internet Retail,11.50B
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,41.27B
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,8.80B
FITB,Fifth Third Bancorp,Financial,Banks - Regional,26.56B
LYFT,"Lyft, Inc.",Technology,Software - Application,20.96B
BFT,Foley Trasimene Acquisition Corp. II,Financial,Shell Companies,3.03B
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,9.19B
GLW,Corning Incorporated,Technology,Electronic Components,31.37B
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,371.91B
HL,Hecla Mining Company,Basic Materials,Gold,3.63B
LI,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,23.73B
GPS,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,11.69B
RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services,23.47B
GOEV,Canoo Inc.,Consumer Cyclical,Auto Manufacturers,3.66B
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,21.14B
VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,28.44B
CIG,Companhia Energetica de Minas Gerais,Utilities,Utilities - Diversified,3.39B
MRVL,Marvell Technology Group Ltd.,Technology,Semiconductors,31.90B
FSR,Fisker Inc.,Consumer Cyclical,Auto Manufacturers,6.65B
JMIA,Jumia Technologies AG,Consumer Cyclical,Internet Retail,4.60B
GGB,Gerdau S.A.,Basic Materials,Steel,8.15B
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,81.22B
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,45.40B
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,562.68B
AUY,Yamana Gold Inc.,Basic Materials,Gold,4.38B
BCS,Barclays PLC,Financial,Banks - Diversified,42.06B
OPK,"OPKO Health, Inc.",Healthcare,Diagnostics & Research,3.16B
CLOV,"Clover Health Investments, Corp.",Healthcare,Healthcare Plans,3.49B
PBR-A,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,54.20B
MVIS,"MicroVision, Inc.",Technology,Scientific & Technical Instruments,2.22B
FUBO,fuboTV Inc.,Communication Services,Broadcasting,2.35B
SQ,"Square, Inc.",Technology,Software - Infrastructure,114.03B
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,15.09B
ORCL,Oracle Corporation,Technology,Software - Infrastructure,200.14B
MS,Morgan Stanley,Financial,Capital Markets,155.66B
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,46.05B
V,Visa Inc.,Financial,Credit Services,481.00B
CHPT,Chargepoint Holdings Inc.,Consumer Cyclical,Specialty Retail,7.87B
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,18.29B
RXT,"Rackspace Technology, Inc.",Technology,Software - Infrastructure,4.85B
COP,ConocoPhillips,Energy,Oil & Gas E&P,79.64B
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,7.09B
OPEN,Opendoor Technologies Inc.,Real Estate,Real Estate Services,16.18B
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12.70B
VEON,VEON Ltd.,Communication Services,Telecom Services,3.14B
RF,Regions Financial Corporation,Financial,Banks - Regional,20.22B
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,16.83B
FUTU,Futu Holdings Limited,Financial,Capital Markets,20.21B
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,129.13B
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,136.88B
DISCA,"Discovery, Inc.",Communication Services,Entertainment,30.49B
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,28.69B
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,17.39B
WORK,"Slack Technologies, Inc.",Technology,Software - Application,23.79B
YSG,Yatsen Holding Limited,Consumer Cyclical,Specialty Retail,9.71B
DIS,The Walt Disney Company,Communication Services,Entertainment,356.43B
JWN,"Nordstrom, Inc.",Consumer Cyclical,Department Stores,6.53B
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,211.68B
SKLZ,Skillz Inc.,Communication Services,Electronic Gaming & Multimedia,11.02B
LUV,Southwest Airlines Co.,Industrials,Airlines,35.14B
NEM,Newmont Corporation,Basic Materials,Gold,48.71B
HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,16.40B
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,43.11B
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,26.91B
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,468.56B
TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,46.37B
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,178.80B
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,10.91B
HPQ,HP Inc.,Technology,Computer Hardware,38.46B
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,8.21B
RKT,"Rocket Companies, Inc.",Financial,Mortgage Finance,52.88B
ING,ING Groep N.V.,Financial,Banks - Diversified,46.49B
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,20.47B
GFI,Gold Fields Limited,Basic Materials,Gold,8.65B
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,56.89B
CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,10.65B
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,36.62B
JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,147.42B
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,91.02B
BP,BP p.l.c.,Energy,Oil & Gas Integrated,89.02B
SPCE,"Virgin Galactic Holdings, Inc.",Industrials,Aerospace & Defense,8.01B
MAC,The Macerich Company,Real Estate,REIT - Retail,2.35B
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,222.17B
KGC,Kinross Gold Corporation,Basic Materials,Gold,8.76B
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,20.38B
IQ,"iQIYI, Inc.",Communication Services,Internet Content & Information,20.78B
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,647.05B
JBLU,JetBlue Airways Corporation,Industrials,Airlines,6.50B
UBER,"Uber Technologies, Inc.",Technology,Software - Application,109.26B
TWTR,"Twitter, Inc.",Communication Services,Internet Content & Information,56.39B
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,23.40B
QS,QuantumScape Corporation,Consumer Cyclical,Auto Parts,22.78B
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,12.08B
KEY,KeyCorp,Financial,Banks - Regional,20.04B
SJR,Shaw Communications Inc.,Communication Services,Telecom Services,13.72B
WKHS,Workhorse Group Inc.,Consumer Cyclical,Auto Manufacturers,2.28B
ZNGA,Zynga Inc.,Communication Services,Electronic Gaming & Multimedia,11.19B
CMCSA,Comcast Corporation,Communication Services,Entertainment,262.60B
SWN,Southwestern Energy Company,Energy,Oil & Gas E&P,2.91B
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,208.70B
MARA,"Marathon Digital Holdings, Inc.",Financial,Capital Markets,4.16B
MU,"Micron Technology, Inc.",Technology,Semiconductors,101.14B
RIDE,Lordstown Motors Corp.,Consumer Cyclical,Auto Manufacturers,3.21B
SNAP,Snap Inc.,Communication Services,Internet Content & Information,91.43B
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,22.14B
PLUG,Plug Power Inc.,Industrials,Electrical Equipment & Parts,23.80B
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,53.98B
C,Citigroup Inc.,Financial,Banks - Diversified,151.07B
GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,2.88B
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,27.61B
SIRI,Sirius XM Holdings Inc.,Communication Services,Broadcasting,25.79B
GOLD,Barrick Gold Corporation,Basic Materials,Gold,36.69B
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,2.20B
FB,"Facebook, Inc.",Communication Services,Internet Content & Information,795.47B
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,192.96B
CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,87.92B
BBD,Banco Bradesco S.A.,Financial,Banks - Regional,39.51B
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,229.75B
CAN,Canaan Inc.,Technology,Computer Hardware,5.52B
MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,9.75B
RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,42.11B
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,31.55B
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,79.36B
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,90.88B
INTC,Intel Corporation,Technology,Semiconductors,260.87B
RIOT,"Riot Blockchain, Inc.",Technology,Software - Application,4.32B
PBR,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,53.57B
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,15.09B
WFC,Wells Fargo & Company,Financial,Banks - Diversified,159.65B
APHA,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,7.02B
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,11.29B
XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,27.67B
RIG,Transocean Ltd.,Energy,Oil & Gas Drilling,2.69B
NNDM,Nano Dimension Ltd.,Technology,Computer Hardware,2.81B
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,196.20B
CCIV,Churchill Capital Corp IV,Financial,Shell Companies,5.94B
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,26.89B
BB,BlackBerry Limited,Technology,Software - Infrastructure,5.91B
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,1781.36B
X,United States Steel Corporation,Basic Materials,Steel,5.61B
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,679.52B
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,252.94B
VIAC,ViacomCBS Inc.,Communication Services,Entertainment,54.24B
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,18.64B
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,100.20B
M,"Macy's, Inc.",Consumer Cyclical,Department Stores,5.87B
T,AT&T Inc.,Communication Services,Telecom Services,211.52B
BAC,Bank of America Corporation,Financial,Banks - Diversified,319.67B
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,48.47B
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,49.42B
AAPL,Apple Inc.,Technology,Consumer Electronics,2097.55B
FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,5.55B
BA,The Boeing Company,Industrials,Aerospace & Defense,145.13B
RUBY,"Rubius Therapeutics, Inc.",Healthcare,Biotechnology,2.38B
ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional,44.70B
STAY,"Extended Stay America, Inc.",Consumer Cyclical,Lodging,3.37B
TLRY,"Tilray, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,5.35B
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,31.73B
NOK,Nokia Corporation,Technology,Communication Equipment,24.00B
NIO,NIO Limited,Consumer Cyclical,Auto Manufacturers,71.49B
AAL,American Airlines Group Inc.,Industrials,Airlines,15.26B
